type,amount,oldbalanceOrg,newbalanceOrig,isFraud
1,454483.23,454483.23,0.0,1
2,12860.15,145130.71,132270.55,0
4,375132.73,618.0,0.0,0
4,69724.85,69724.85,0.0,1
1,930970.44,930970.44,0.0,1
4,155002.83,155002.83,0.0,1
4,4716.08,4716.08,0.0,1
4,272997.35,272997.35,0.0,1
4,733119.42,733119.42,0.0,1
1,854065.31,854065.31,0.0,1
1,3379009.86,3379009.86,0.0,1
4,9749042.95,9749042.95,0.0,1
1,3523089.46,3523089.46,0.0,1
4,10000000.0,12056779.24,2056779.24,1
3,192941.73,2194695.17,2387636.9,0
1,643293.88,105585.0,0.0,0
4,222517.07,222517.07,0.0,1
2,45134.59,483.0,0.0,0
4,44164.0,44164.0,0.0,1
4,696763.08,696763.08,0.0,1
1,3285475.4,3285475.4,0.0,1
2,3103.24,127295.86,124192.62,0
4,283976.3,283976.3,0.0,1
4,1348095.12,1348095.12,0.0,1
2,14694.21,0.0,0.0,0
1,21738.98,21738.98,0.0,1
4,930812.94,9857.0,0.0,0
1,1380940.73,1380940.73,0.0,1
1,233887.56,208506.0,0.0,0
4,24279.32,24279.32,0.0,1
1,20364.0,20364.0,0.0,1
4,154052.34,154052.34,0.0,1
3,24690.69,3407934.79,3432625.48,0
1,368780.67,12376.0,0.0,0
1,230204.96,230204.96,0.0,1
1,354723.02,59880.0,0.0,0
4,1539131.06,275.0,0.0,0
3,7746.52,7888730.71,7896477.22,0
1,1658.52,0.0,0.0,0
4,3019699.77,3019699.77,0.0,1
4,73420.56,14220.0,0.0,0
3,235799.73,5660036.36,5895836.09,0
4,236947.25,236947.25,0.0,1
4,5363795.31,5363795.31,0.0,1
1,14016.65,14016.65,0.0,1
1,116181.33,0.0,0.0,0
3,202579.8,30681.0,233260.8,0
1,90313.82,0.0,0.0,0
3,148336.01,1052.0,149388.01,0
1,283093.25,0.0,0.0,0
1,229296.13,0.0,0.0,0
1,214154.96,0.0,0.0,0
1,22990.73,22990.73,0.0,1
3,37248.92,19471434.77,19508683.7,0
4,5131896.17,5131896.17,0.0,1
1,224858.38,0.0,0.0,0
